Country,Country Code,Year,Mental disorders,% Eating disorders,% Anxiety disorders,% Drug disorders,% Depressive disorders,%HappyPeople,Annual working hours per worker,GDP,Depressive disorders,Physical Activity,Drug use,Smoking,Life satisfaction,% people who are happy_y,Population,Productivity per hour worked,Region 1,Region 2,Continent,Paid work,Education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,Attending events,Seeing friends,TV and Radio,Other leisure activities
African Region (WHO),,1990,0.1241,0.001,0.0354,0.0044,0.0473,,,,0.0473,345561.95,806299.98,5458876.2,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1991,0.1241,0.001,0.0354,0.0044,0.0472,,,,0.0472,356865.92,923964.04,5568066.91,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1992,0.1242,0.001,0.0353,0.0044,0.0471,,,,0.0471,372355.36,1068154.1,5707866.07,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1993,0.1242,0.001,0.0353,0.0045,0.047,,,,0.047,382000.31,1225593.5,5747687.2,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1994,0.1242,0.001,0.0353,0.0045,0.047,,,,0.047,398836.95,1409416.26,5890762.85,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1995,0.1243,0.001,0.0353,0.0045,0.047,,,,0.047,411153.29,1606309.09,6037603.76,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1996,0.1245,0.001,0.0353,0.0045,0.0471,,,,0.0471,429070.72,1806584.74,6189282.67,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1997,0.1247,0.001,0.0353,0.0045,0.0473,,,,0.0473,454516.24,2013637.62,6413495.2,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1998,0.125,0.001,0.0352,0.0045,0.0476,,,,0.0476,472762.11,2207474.05,6547068.64,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1999,0.1253,0.001,0.0352,0.0045,0.0479,,,,0.0479,486540.42,2388496.11,6554912.51,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2000,0.1254,0.001,0.0352,0.0045,0.048,,,,0.048,505653.91,2566576.17,6657859.52,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2001,0.1253,0.001,0.0352,0.0045,0.0479,,,,0.0479,516051.79,2720405.72,6653744.61,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2002,0.1252,0.001,0.0351,0.0045,0.0479,,,,0.0479,530638.22,2850407.4,6684981.95,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2003,0.1251,0.001,0.0351,0.0044,0.0478,,,,0.0478,544108.09,2950981.76,6746282.88,,,,,,,,,,,,,,,,,,,,,
