Country;Year;Mental disorders;% Eating disorders;% Anxiety disorders;% Drug disorders;% Depressive disorders;%HappyPeople;Annual working hours per worker;Depressive disorders;Physical Activity;Drug use;Smoking;Life satisfaction;Productivity per hour worked;Continent;Paid work;Shopping;Personal care;Sports;Seeing friends;TV and Radio;Other leisure activities;Income
Afghanistan;2017;0.171;0.0012;0.0499;0.0059;0.0511;;;0.0511;101967.63;87126.73;326057.84;0.0237509179115295;;Asia;;;;;;;;530.0
Albania;2017;0.1155;0.0014;0.0407;0.0049;0.0261;;;0.0261;4559.94;5534.66;99203.73;0.049953179359436;;Europe;;;;;;;;4290.0
Algeria;2017;0.1471;0.0022;0.0501;0.0049;0.043;;;0.043;179752.32;95213.81;571961.07;0.0474462747573853;;Africa;;;;;;;;3940.0
American Samoa;2017;0.1119;0.0014;0.0423;0.0076;0.0277;;;0.0277;332.22;125.57;1739.08;;;Oceania;;;;;;;;
Andorra;2017;0.1545;0.0057;0.0601;0.0112;0.0392;;;0.0392;202.07;277.78;2655.14;;;Europe;;;;;;;;
Angola;2017;0.1336;0.0014;0.0404;0.0036;0.0586;;;0.0586;19403.56;39686.06;235152.3;;;Africa;;;;;;;;3450.0
Antigua and Barbuda;2017;0.1406;0.0028;0.0454;0.0083;0.0305;;;0.0305;371.34;147.08;971.17;;;North America;;;;;;;;14320.0
Argentina;2017;0.136;0.0036;0.0535;0.0074;0.026;;1648.8129;0.026;18040.59;148998.41;1315009.0;0.0608556079864502;30.95546;South America;;;;;;;;13140.0
Armenia;2017;0.1137;0.0013;0.0336;0.0055;0.0316;;;0.0316;8800.14;6946.33;126387.47;0.0548808670043945;;Asia;;;;;;;;3950.0
Australia;2017;0.1896;0.0111;0.063;0.0236;0.0473;;1736.8003;0.0473;65798.36;181131.48;500613.23;0.0723399496078491;60.34168;Oceania;211.146629603892;29.0201528839472;56.0389159138291;19.0132036136206;40.0069492703266;140.097289784573;76.073662265462;51560.0
Austria;2017;0.1579;0.0061;0.0658;0.012;0.0341;;1608.1809;0.0341;29483.82;39857.41;310606.38;0.0719536113739014;64.780174;Europe;279.53226810278;20.7324461119906;54.9568898982881;32.07853;81.77063;108.826296674752;59.1023;45090.0
Azerbaijan;2017;0.1039;0.0015;0.0265;0.0048;0.0289;;;0.0289;23298.3;21545.56;355323.86;0.0517338943481445;;Asia;;;;;;;;4090.0
Bahamas;2017;0.1407;0.0031;0.0455;0.0101;0.0312;;;0.0312;1369.41;838.15;4376.33;;;North America;;;;;;;;
Bahrain;2017;0.1453;0.003;0.0509;0.0043;0.0471;;;0.0471;6548.67;3019.6;16961.18;0.0709801244735718;;Asia;;;;;;;;21250.0
Bangladesh;2017;0.1183;0.0012;0.0325;0.0037;0.0473;;2418.8828;0.0473;184169.33;178785.75;2689219.67;0.0511421680450439;4.3076367;Asia;;;;;;;;1520.0
Barbados;2017;0.1432;0.0025;0.0456;0.0116;0.0327;;;0.0327;2078.99;477.26;3666.8;;;North America;;;;;;;;16070.0
Belarus;2017;0.1264;0.0014;0.0376;0.0092;0.042;;;0.042;44865.96;52638.32;557025.99;0.0582145309448242;;Europe;;;;;;;;5300.0
Belgium;2017;0.15;0.0048;0.056;0.012;0.0389;;1577.9177;0.0389;38241.43;45446.91;456820.05;0.067721381187439;68.51652;Europe;194.476452188763;28.5959056360971;52.6697030404366;21.0165774533221;50.4762420901579;130.567855990874;121.923582692993;42510.0
Belize;2017;0.1429;0.002;0.0435;0.0095;0.0343;;;0.0343;957.47;669.03;3580.44;;;North America;;;;;;;;4420.0
Benin;2017;0.1184;0.001;0.0329;0.0035;0.0452;;;0.0452;6926.71;11376.63;58304.17;0.0497636079788208;;Africa;;;;;;;;1090.0
Bermuda;2017;0.1449;0.0039;0.0458;0.0099;0.0335;;;0.0335;338.97;158.78;1419.79;;;North America;;;;;;;;112940.0
Bhutan;2017;0.1204;0.0014;0.0335;0.0038;0.0409;;;0.0409;1440.17;1608.66;7963.24;;;Asia;;;;;;;;2800.0
Bosnia and Herzegovina;2017;0.115;0.0014;0.0377;0.004;0.0291;;;0.0291;12002.89;7290.74;222760.41;0.0601552248001099;;Europe;;;;;;;;5120.0
Botswana;2017;0.1188;0.0018;0.0375;0.0061;0.0443;;;0.0443;3902.58;14592.59;47265.21;0.0347108483314514;;Africa;;;;;;;;6690.0
Brazil;2017;0.167;0.0024;0.0775;0.0115;0.0399;;1709.5944;0.0399;999842.52;732378.4;4578136.95;0.0645114898681641;19.188293;South America;;;;;;;;8700.0
Bulgaria;2017;0.1114;0.0016;0.0363;0.0072;0.0287;;1643.258;0.0287;34196.02;26873.47;586848.11;0.0510843801498413;25.392122;Europe;;;;;;;;7640.0
Burkina Faso;2017;0.1186;0.0009;0.0317;0.0027;0.046;;;0.046;7064.22;17604.28;101887.37;0.0474089288711548;;Africa;;;;;;;;670.0
Burundi;2017;0.1307;0.0007;0.0371;0.0034;0.0479;;;0.0479;2193.91;7556.46;84511.45;;;Africa;;;;;;;;280.0
